# Insercion. Tiempos en microsegundos.
# Talla    Mejor       Peor     Promedio 
#----------------------------------------
   1000    3.163     498.479     173.862
   2000   11.786    1882.257     893.490
   3000   31.190    4697.953    2700.167
   4000   66.934    9492.509    6133.420
   5000  124.949   16906.144   11752.295
   6000  209.243   27611.374   20062.005
   7000  332.266   42433.553   32214.451
   8000  494.561   61494.545   48335.485
   9000  703.179   85631.033   69060.244
  10000  964.083  115503.307   94997.848
