# Busqueda lineal. Tiempos en microsegundos
# Talla       Mejor       Peor     Promedio
#------------------------------------------
   10000      0.043      3.198      1.202
   20000      0.028      8.291      3.187
   30000      0.027     12.888      4.820
   40000      0.027     17.206      7.073
   50000      0.028     23.062      8.275
   60000      0.027     26.316     10.092
   70000      0.027     30.809     11.965
   80000      0.027     33.890     14.139
   90000      0.027     37.904     15.744
  100000      0.030     45.769     18.233
